sort_order	statement_type	report_area	section_l1	section_l2	section_l3	section_l4	account_code	account_name	parent_code	parent_name	row_type	normal_balance	report_sign	is_leaf_for_calculation	formula_or_rule	notes
1460	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu	Rezerve		106	Rezerve		Rezerve	ACCOUNT_GROUP	Credit	+	FALSE		
1470	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu		106	1061	Rezerve legale	106	Rezerve	ACCOUNT_LEAF	Credit	+	TRUE		
1480	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu		106	1065	Rezerve reprezentând surplusul realizat din rezerve din reevaluare	106	Rezerve	ACCOUNT_LEAF	Credit	+	TRUE		
1490	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu		106	1068	Alte rezerve	106	Rezerve	ACCOUNT_LEAF	Credit	+	TRUE		
1500	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu	Rezultatul reportat		117	Rezultatul reportat		Rezultatul reportat	ACCOUNT_GROUP	Mixt	+/-	FALSE		Poate fi profit nerepartizat sau pierdere neacoperită
1510	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu		117	1171	Rezultatul reportat reprezentând profitul nerepartizat sau pierderea neacoperită	117	Rezultatul reportat	ACCOUNT_LEAF	Mixt	+/-	TRUE		
1520	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu		117	1174	Rezultatul reportat provenit din corectarea erorilor contabile	117	Rezultatul reportat	ACCOUNT_LEAF	Mixt	+/-	TRUE		
1530	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu		117	1175	Rezultatul reportat reprezentând surplusul realizat din rezerve din reevaluare	117	Rezultatul reportat	ACCOUNT_LEAF	Credit	+	TRUE		
1540	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu	Rezerve din reevaluare		105	Rezerve din reevaluare		Rezerve din reevaluare	ACCOUNT_LEAF	Credit	+	TRUE		
1550	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu	Capital social subscris		101	Capital social		Capital social subscris	ACCOUNT_GROUP	Credit	+	FALSE		
1560	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu		101	1012	Capital subscris vărsat	101	Capital social	ACCOUNT_LEAF	Credit	+	TRUE		
1570	Balance Sheet	Pasive	Total datorii și capitaluri								CALCULATED		calculated	FALSE	Datorii pe termen scurt + datorii pe termen lung + capital propriu și quasi-capital	
1580	Profit & Loss	Venituri	Venituri operaționale recurente								REPORT_GROUP	Credit	+	FALSE		
1590	Profit & Loss	Venituri	Venituri operaționale recurente	Vânzări totale							REPORT_GROUP	Credit	+	FALSE		
1600	Profit & Loss	Venituri	Venituri operaționale recurente	Vânzări totale	Vânzări de bunuri						REPORT_GROUP	Credit	+	FALSE		
1610	Profit & Loss	Venituri	Venituri operaționale recurente	Vânzări totale	Vânzări de bunuri		701	Venituri din vânzarea produselor finite, produselor agricole și activelor biologice de natura stocurilor		Vânzări de bunuri	ACCOUNT_LEAF	Credit	+	TRUE		Cont sintetic folosit în maparea propusă; se poate detalia pe analitice 7015/7017/7018 dacă apar în balanță
1620	Profit & Loss	Venituri	Venituri operaționale recurente	Vânzări totale	Vânzări de bunuri		703	Venituri din vânzarea produselor reziduale		Vânzări de bunuri	ACCOUNT_LEAF	Credit	+	TRUE		
1630	Profit & Loss	Venituri	Venituri operaționale recurente	Vânzări totale	Vânzări de servicii		704	Venituri din servicii prestate		Vânzări de servicii	ACCOUNT_LEAF	Credit	+	TRUE		
1640	Profit & Loss	Venituri	Venituri operaționale recurente	Vânzări totale	Venituri din redevențe, locații de gestiune și chirii		706	Venituri din redevențe, locații de gestiune și chirii		Venituri din redevențe, locații de gestiune și chirii	ACCOUNT_LEAF	Credit	+	TRUE		
1650	Profit & Loss	Venituri	Venituri operaționale recurente	Vânzări totale	Vânzări de mărfuri		707	Venituri din vânzarea mărfurilor		Vânzări de mărfuri	ACCOUNT_LEAF	Credit	+	TRUE		
1660	Profit & Loss	Venituri	Venituri operaționale recurente	Vânzări totale	Venituri din activități diverse		708	Venituri din activități diverse		Venituri din activități diverse	ACCOUNT_LEAF	Credit	+	TRUE		
1670	Profit & Loss	Venituri	Venituri operaționale recurente	Variația stocurilor							REPORT_GROUP	Credit	+	FALSE		
1680	Profit & Loss	Venituri	Venituri operaționale recurente	Variația stocurilor			711	Venituri aferente costurilor producției în curs de execuție		Variația stocurilor	ACCOUNT_LEAF	Credit	+	TRUE		
1690	Profit & Loss	Venituri	Venituri operaționale recurente	Variația stocurilor			712	Venituri aferente costurilor serviciilor în curs de execuție		Variația stocurilor	ACCOUNT_LEAF	Credit	+	TRUE		
1700	Profit & Loss	Venituri	Venituri operaționale recurente	Reduceri comerciale primite			609	Reduceri comerciale primite		Venituri operaționale recurente	ACCOUNT_LEAF	Credit/contra-cheltuială	+	TRUE		Cont de clasa 6; în raportare poate crește rezultatul prin reducerea costurilor. A fost inclus în zona indicată în imagini/maparea anterioară.
1710	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente								REPORT_GROUP	Debit	-	FALSE		
1720	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)							REPORT_GROUP	Debit	-	FALSE		
1730	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Cheltuieli cu materii prime și materiale						REPORT_GROUP	Debit	-	FALSE		
1740	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Cheltuieli cu materii prime și materiale		601	Cheltuieli cu materiile prime		Cheltuieli cu materii prime și materiale	ACCOUNT_LEAF	Debit	-	TRUE		
1750	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Cheltuieli cu materii prime și materiale		602	Cheltuieli cu materialele consumabile		Cheltuieli cu materii prime și materiale	ACCOUNT_GROUP	Debit	-	FALSE		
1760	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Cheltuieli cu materialele consumabile	602	6021	Cheltuieli cu materialele auxiliare	602	Cheltuieli cu materialele consumabile	ACCOUNT_LEAF	Debit	-	TRUE		
1770	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Cheltuieli cu materialele consumabile	602	6022	Cheltuieli privind combustibilii	602	Cheltuieli cu materialele consumabile	ACCOUNT_LEAF	Debit	-	TRUE		
1780	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Cheltuieli cu materialele consumabile	602	6024	Cheltuieli privind piesele de schimb	602	Cheltuieli cu materialele consumabile	ACCOUNT_LEAF	Debit	-	TRUE		
1790	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Cheltuieli cu materialele consumabile	602	6028	Cheltuieli privind alte materiale consumabile	602	Cheltuieli cu materialele consumabile	ACCOUNT_LEAF	Debit	-	TRUE		
1800	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Cheltuieli cu materii prime și materiale		603	Cheltuieli privind materialele de natura obiectelor de inventar		Cheltuieli cu materii prime și materiale	ACCOUNT_LEAF	Debit	-	TRUE		
1810	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Cheltuieli cu materii prime și materiale		604	Cheltuieli privind materialele nestocate		Cheltuieli cu materii prime și materiale	ACCOUNT_LEAF	Debit	-	TRUE		
1820	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Costul bunurilor vândute (COGS)		607	Cheltuieli privind mărfurile		Costul bunurilor vândute (COGS)	ACCOUNT_LEAF	Debit	-	TRUE		
1830	Profit & Loss	Cheltuieli	Cheltuieli operaționale recurente	Costul bunurilor vândute (COGS)	Costul bunurilor vândute (COGS)		709	Reduceri comerciale acordate		Costul bunurilor vândute (COGS)	ACCOUNT_LEAF	Debit/contra-venit	-	TRUE		Cont de clasa 7; contra-venit. În maparea din imagini este afișat în zona COGS/reduceri acordate.
1835	Profit & Loss	Indicatori	Rezultat operațional brut (Gross result)								CALCULATED	Credit	calculated	FALSE	Venituri operaționale recurente - Costul bunurilor vândute (COGS)	Câmp calculat observat în P&L; înainte de OPEX
1836	Profit & Loss	Indicatori	% Marja operațională brută								CALCULATED	Credit	calculated	FALSE	Rezultat operațional brut (Gross result) / Venituri operaționale recurente	Indicator procentual calculat observat în P&L
1840	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)								REPORT_GROUP	Debit	-	FALSE		
1850	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale							REPORT_GROUP	Debit	-	FALSE		
1860	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			622	Cheltuieli privind comisioanele și onorariile		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1870	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			605	Cheltuieli privind energia și apa		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1880	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			623	Cheltuieli de protocol, reclamă și publicitate		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1890	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			621	Cheltuieli cu colaboratorii		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1900	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			613	Cheltuieli cu primele de asigurare		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1910	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			611	Cheltuieli cu întreținerea și reparațiile		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1920	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			635	Cheltuieli cu alte impozite, taxe și vărsăminte asimilate		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1930	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			626	Cheltuieli poștale și taxe de telecomunicații		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1940	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			612	Cheltuieli cu redevențele, locațiile de gestiune și chiriile		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1950	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			624	Cheltuieli cu transportul de bunuri și personal		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1960	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			625	Cheltuieli cu deplasări, detașări și transferări		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1970	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			627	Cheltuieli cu serviciile bancare și asimilate		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1980	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli administrative generale			628	Alte cheltuieli cu serviciile executate de terți		Cheltuieli administrative generale	ACCOUNT_LEAF	Debit	-	TRUE		
1990	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli salariale totale							REPORT_GROUP	Debit	-	FALSE		
2000	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli salariale totale			646	Cheltuieli privind contribuția asiguratorie pentru muncă		Cheltuieli salariale totale	ACCOUNT_LEAF	Debit	-	TRUE		
2010	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli salariale totale			642	Cheltuieli cu avantajele în natură și tichetele acordate salariaților		Cheltuieli salariale totale	ACCOUNT_LEAF	Debit	-	TRUE		
2020	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli salariale totale			641	Cheltuieli cu salariile personalului		Cheltuieli salariale totale	ACCOUNT_LEAF	Debit	-	TRUE		
2030	Profit & Loss	Cheltuieli	Cheltuieli operaționale fixe (OPEX)	Cheltuieli salariale totale			645	Cheltuieli privind asigurările și protecția socială		Cheltuieli salariale totale	ACCOUNT_LEAF	Debit	-	TRUE		
2040	Profit & Loss	Indicatori	Rezultat operațional din activitate recurentă								CALCULATED		calculated	FALSE	Venituri operaționale recurente - cheltuieli operaționale recurente	
2045	Profit & Loss	Indicatori	% Marja operațională din activitatea recurentă								CALCULATED	Credit	calculated	FALSE	Rezultat operațional din activitate recurentă / Venituri operaționale recurente	Indicator procentual calculat observat în P&L
2050	Profit & Loss	Venituri	Venituri operaționale nerecurente								REPORT_GROUP	Credit	+	FALSE		
2060	Profit & Loss	Venituri	Venituri operaționale nerecurente				758	Alte venituri din exploatare		Venituri operaționale nerecurente	ACCOUNT_LEAF	Credit	+	TRUE		
2070	Profit & Loss	Cheltuieli	Cheltuieli operaționale nerecurente								REPORT_GROUP	Debit	-	FALSE		
2080	Profit & Loss	Cheltuieli	Cheltuieli operaționale nerecurente				654	Pierderi din creanțe și debitori diverși		Cheltuieli operaționale nerecurente	ACCOUNT_LEAF	Debit	-	TRUE		Poate acoperi pierderi din creanțe reactivate și debitori diverși
2090	Profit & Loss	Cheltuieli	Cheltuieli operaționale nerecurente				658	Alte cheltuieli de exploatare		Cheltuieli operaționale nerecurente	ACCOUNT_LEAF	Debit	-	TRUE		
2100	Profit & Loss	Indicatori	Rezultat operațional din activitate nerecurentă								CALCULATED		calculated	FALSE	Venituri operaționale nerecurente - cheltuieli operaționale nerecurente	
2110	Profit & Loss	Indicatori	EBITDA - Rezultat operațional înainte de amortizare								CALCULATED		calculated	FALSE	Rezultat operațional recurent + rezultat operațional nerecurent, înainte de depreciere și amortizare	
2120	Profit & Loss	Indicatori	% Marja EBITDA								CALCULATED		calculated	FALSE	EBITDA / venituri operaționale relevante	
2130	Profit & Loss	Cheltuieli	Depreciere și amortizare netă								REPORT_GROUP		calculated	FALSE		
2140	Profit & Loss	Cheltuieli	Depreciere și amortizare netă	Cheltuieli cu deprecierea și amortizarea							REPORT_GROUP	Debit	-	FALSE		
2150	Profit & Loss	Cheltuieli	Depreciere și amortizare netă	Cheltuieli cu deprecierea și amortizarea	Cheltuieli de exploatare privind amortizările, provizioanele și ajustările pentru depreciere		681	Cheltuieli de exploatare privind amortizările, provizioanele și ajustările pentru depreciere		Cheltuieli cu deprecierea și amortizarea	ACCOUNT_LEAF	Debit	-	TRUE		
2160	Profit & Loss	Cheltuieli	Depreciere și amortizare netă	Cheltuieli cu deprecierea și amortizarea	Cheltuieli financiare privind amortizările, provizioanele și ajustările pentru depreciere		686	Cheltuieli financiare privind amortizările, provizioanele și ajustările pentru pierdere de valoare		Cheltuieli cu deprecierea și amortizarea	ACCOUNT_LEAF	Debit	-	TRUE		
2170	Profit & Loss	Venituri	Depreciere și amortizare netă	Venituri legate de depreciere și amortizare							REPORT_GROUP	Credit	+	FALSE		
2180	Profit & Loss	Venituri	Depreciere și amortizare netă	Venituri legate de depreciere și amortizare			781	Venituri din provizioane și ajustări pentru depreciere privind activitatea de exploatare		Venituri legate de depreciere și amortizare	ACCOUNT_LEAF	Credit	+	TRUE		
2190	Profit & Loss	Venituri	Depreciere și amortizare netă	Venituri legate de depreciere și amortizare			786	Venituri financiare din amortizări și ajustări pentru pierdere de valoare		Venituri legate de depreciere și amortizare	ACCOUNT_LEAF	Credit	+	TRUE		
2200	Profit & Loss	Indicatori	EBIT - Rezultat operațional								CALCULATED		calculated	FALSE	EBITDA - cheltuieli cu deprecierea și amortizarea + venituri legate de depreciere și amortizare	
2210	Profit & Loss	Indicatori	% Marja EBIT								CALCULATED		calculated	FALSE	EBIT / venituri operaționale relevante	
2220	Profit & Loss	Venituri	Venituri financiare								REPORT_GROUP	Credit	+	FALSE		
2230	Profit & Loss	Venituri	Venituri financiare	Venituri din diferențe de curs valutar (FX)							REPORT_GROUP	Credit	+	FALSE		
2240	Profit & Loss	Venituri	Venituri financiare	Venituri din diferențe de curs valutar (FX)	Alte venituri FX		765.01	Venituri FX aferente evaluării datoriilor comerciale și a altor datorii	765	Venituri din diferențe de curs valutar	INTERNAL_ANALYTIC	Credit	+	TRUE		Analitic intern de raportare pentru Finguard, derivat din 765
2250	Profit & Loss	Venituri	Venituri financiare	Venituri din diferențe de curs valutar (FX)	Alte venituri FX		765.02	Venituri FX încasate, cu impact în numerar	765	Venituri din diferențe de curs valutar	INTERNAL_ANALYTIC	Credit	+	TRUE		Analitic intern de raportare pentru Finguard, derivat din 765
2260	Profit & Loss	Venituri	Venituri financiare	Venituri din diferențe de curs valutar (FX)	Alte venituri FX		765.03	Venituri FX aferente evaluării creanțelor	765	Venituri din diferențe de curs valutar	INTERNAL_ANALYTIC	Credit	+	TRUE		Analitic intern de raportare pentru Finguard, derivat din 765
2270	Profit & Loss	Venituri	Venituri financiare	Venituri din diferențe de curs valutar (FX)	Alte venituri FX		765.04	Venituri FX aferente evaluării datoriilor financiare pe termen scurt	765	Venituri din diferențe de curs valutar	INTERNAL_ANALYTIC	Credit	+	TRUE		Analitic intern de raportare pentru Finguard, derivat din 765
2280	Profit & Loss	Venituri	Venituri financiare	Venituri din diferențe de curs valutar (FX)	765movcredit		765movcredit	Nod tehnic pentru rulaj creditor FX		Venituri din diferențe de curs valutar (FX)	INTERNAL_GROUP	Credit	+	FALSE		Nod tehnic din imagine; nu este cont contabil standard
2290	Profit & Loss	Venituri	Venituri financiare	Venituri din diferențe de curs valutar (FX)	765movcredit		765	Venituri din diferențe de curs valutar	765movcredit	Nod tehnic pentru rulaj creditor FX	ACCOUNT_LEAF	Credit	+	TRUE		
2300	Profit & Loss	Venituri	Venituri financiare	Venituri din reduceri financiare obținute			767	Venituri din reduceri financiare / sconturi obținute		Venituri financiare	ACCOUNT_LEAF	Credit	+	TRUE		
2310	Profit & Loss	Venituri	Venituri financiare	Venituri din dobânzi			766	Venituri din dobânzi		Venituri financiare	ACCOUNT_LEAF	Credit	+	TRUE		
2320	Profit & Loss	Cheltuieli	Cheltuieli financiare								REPORT_GROUP	Debit	-	FALSE		
2330	Profit & Loss	Cheltuieli	Cheltuieli financiare	Cheltuieli din diferențe de curs valutar (FX)							REPORT_GROUP	Debit	-	FALSE		
2340	Profit & Loss	Cheltuieli	Cheltuieli financiare	Cheltuieli din diferențe de curs valutar (FX)	Alte cheltuieli FX		665.01	Cheltuieli FX aferente evaluării datoriilor financiare pe termen lung	665	Cheltuieli din diferențe de curs valutar	INTERNAL_ANALYTIC	Debit	-	TRUE		Analitic intern de raportare pentru Finguard, derivat din 665
2350	Profit & Loss	Cheltuieli	Cheltuieli financiare	Cheltuieli din diferențe de curs valutar (FX)	Alte cheltuieli FX		665.02	Cheltuieli FX aferente evaluării datoriilor comerciale și a altor datorii	665	Cheltuieli din diferențe de curs valutar	INTERNAL_ANALYTIC	Debit	-	TRUE		Analitic intern de raportare pentru Finguard, derivat din 665
2360	Profit & Loss	Cheltuieli	Cheltuieli financiare	Cheltuieli din diferențe de curs valutar (FX)	Alte cheltuieli FX		665.03	Cheltuieli FX decontate, cu impact în numerar	665	Cheltuieli din diferențe de curs valutar	INTERNAL_ANALYTIC	Debit	-	TRUE		Analitic intern de raportare pentru Finguard, derivat din 665
2370	Profit & Loss	Cheltuieli	Cheltuieli financiare	Cheltuieli din diferențe de curs valutar (FX)	Alte cheltuieli FX		665.04	Cheltuieli FX aferente evaluării creanțelor	665	Cheltuieli din diferențe de curs valutar	INTERNAL_ANALYTIC	Debit	-	TRUE		Analitic intern de raportare pentru Finguard, derivat din 665
2380	Profit & Loss	Cheltuieli	Cheltuieli financiare	Cheltuieli din diferențe de curs valutar (FX)	Alte cheltuieli FX		665.05	Cheltuieli FX aferente evaluării datoriilor financiare pe termen scurt	665	Cheltuieli din diferențe de curs valutar	INTERNAL_ANALYTIC	Debit	-	TRUE		Analitic intern de raportare pentru Finguard, derivat din 665
2390	Profit & Loss	Cheltuieli	Cheltuieli financiare	Cheltuieli din diferențe de curs valutar (FX)	665movdebit		665movdebit	Nod tehnic pentru rulaj debitor FX		Cheltuieli din diferențe de curs valutar (FX)	INTERNAL_GROUP	Debit	-	FALSE		Nod tehnic din imagine; nu este cont contabil standard
2400	Profit & Loss	Cheltuieli	Cheltuieli financiare	Cheltuieli din diferențe de curs valutar (FX)	665movdebit		665	Cheltuieli din diferențe de curs valutar	665movdebit	Nod tehnic pentru rulaj debitor FX	ACCOUNT_LEAF	Debit	-	TRUE		
2410	Profit & Loss	Cheltuieli	Cheltuieli financiare	Cheltuieli privind sconturile acordate			667	Cheltuieli privind sconturile acordate		Cheltuieli financiare	ACCOUNT_LEAF	Debit	-	TRUE		
2420	Profit & Loss	Cheltuieli	Cheltuieli financiare	Cheltuieli privind dobânzile			666	Cheltuieli privind dobânzile		Cheltuieli financiare	ACCOUNT_LEAF	Debit	-	TRUE		
2430	Profit & Loss	Indicatori	Rezultat financiar								CALCULATED		calculated	FALSE	Venituri financiare - cheltuieli financiare	
2440	Profit & Loss	Indicatori	Profit brut								CALCULATED		calculated	FALSE	EBIT + rezultat financiar	
2450	Profit & Loss	Cheltuieli	Impozit total pe profit / venit								REPORT_GROUP	Debit	-	FALSE		
2460	Profit & Loss	Cheltuieli	Impozit total pe profit / venit				691	Cheltuieli cu impozitul pe profit		Impozit total pe profit / venit	ACCOUNT_LEAF	Debit	-	TRUE		
2470	Profit & Loss	Cheltuieli	Impozit total pe profit / venit				698	Cheltuieli cu impozitul pe venit și cu alte impozite similare		Impozit total pe profit / venit	ACCOUNT_LEAF	Debit	-	TRUE		Folosit doar dacă apare în balanță / regim fiscal aplicabil
2480	Profit & Loss	Indicatori	Profit net								CALCULATED		calculated	FALSE	Profit brut - impozit total pe profit / venit	
2490	Profit & Loss	Indicatori	% Marja profit net								CALCULATED		calculated	FALSE	Profit net / venituri relevante	
3000	Cash Flow	Sold numerar	Sold numerar la început de perioadă								CALCULATED		calculated	FALSE	Sold inițial 5121 + 5124 + 5311 + 5314	
3010	Cash Flow	Sold numerar	Sold numerar la început de perioadă	Conturi la bănci							REPORT_GROUP	Debit	+	FALSE	Sumă rânduri copil	
3020	Cash Flow	Sold numerar	Sold numerar la început de perioadă	Conturi la bănci	Conturi curente la bănci (512)		512	Conturi curente la bănci		Conturi la bănci	ACCOUNT_GROUP	Debit	+	FALSE	Grup pentru 5121 și 5124	
3030	Cash Flow	Sold numerar	Sold numerar la început de perioadă	Conturi la bănci	Conturi curente la bănci (512)		5121	Conturi la bănci în lei	512	Conturi curente la bănci	ACCOUNT_LEAF	Debit	+	TRUE	Sold inițial cont 5121	Pentru Cash Flow, codurile sintetice se pot trata ca prefix pentru toate analiticele aferente.
3040	Cash Flow	Sold numerar	Sold numerar la început de perioadă	Conturi la bănci	Conturi curente la bănci (512)		5124	Conturi la bănci în valută	512	Conturi curente la bănci	ACCOUNT_LEAF	Debit	+	TRUE	Sold inițial cont 5124	Pentru Cash Flow, codurile sintetice se pot trata ca prefix pentru toate analiticele aferente.
3050	Cash Flow	Sold numerar	Sold numerar la început de perioadă	Casa							REPORT_GROUP	Debit	+	FALSE	Sumă rânduri copil	
3060	Cash Flow	Sold numerar	Sold numerar la început de perioadă	Casa	Casa (531)		531	Casa		Casa	ACCOUNT_GROUP	Debit	+	FALSE	Grup pentru 5311 și 5314	
3070	Cash Flow	Sold numerar	Sold numerar la început de perioadă	Casa	Casa (531)		5311	Casa în lei	531	Casa	ACCOUNT_LEAF	Debit	+	TRUE	Sold inițial cont 5311	Pentru Cash Flow, codurile sintetice se pot trata ca prefix pentru toate analiticele aferente.
3080	Cash Flow	Sold numerar	Sold numerar la început de perioadă	Casa	Casa (531)		5314	Casa în valută	531	Casa	ACCOUNT_LEAF	Debit	+	TRUE	Sold inițial cont 5314	Pentru Cash Flow, codurile sintetice se pot trata ca prefix pentru toate analiticele aferente.
3100	Cash Flow	Încasări	Încasări totale								CALCULATED		calculated	FALSE	Total încasări operaționale + financiare + neobișnuite	
3110	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională							REPORT_GROUP	Debit	+	FALSE	Sumă rânduri copil	
3120	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională	Încasări din regularizări salariale						REPORT_GROUP	Debit	+	FALSE	Sumă rânduri copil	
3130	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională	Încasări din regularizări salariale	Încasări din regularizări cu angajații					REPORT_GROUP	Debit	+	FALSE	Sumă rânduri copil	
3140	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională	Încasări din regularizări salariale	Încasări din regularizări cu angajații	425	Încasări din Avansuri acordate personalului			ACCOUNT_LEAF	Debit	+	TRUE	Încasare: rulaj debitor în conturile de numerar cu contrapartidă cont/prefix 425	Pentru Cash Flow, codurile sintetice se pot trata ca prefix pentru toate analiticele aferente.
3150	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională	Încasări din regularizări salariale	Încasări din regularizări cu angajații	428	Încasări din Alte datorii și creanțe în legătură cu personalul			ACCOUNT_LEAF	Debit	+	TRUE	Încasare: rulaj debitor în conturile de numerar cu contrapartidă cont/prefix 428	Pentru Cash Flow, codurile sintetice se pot trata ca prefix pentru toate analiticele aferente.
3160	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională	Încasări din regularizări salariale	Încasări din regularizări cu angajații	438	Încasări din Alte datorii și creanțe sociale			ACCOUNT_LEAF	Debit	+	TRUE	Încasare: rulaj debitor în conturile de numerar cu contrapartidă cont/prefix 438	Pentru Cash Flow, codurile sintetice se pot trata ca prefix pentru toate analiticele aferente.
3170	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională	Încasări din regularizări salariale	Încasări din regularizări cu angajații	427	Încasări din Rețineri din salarii datorate terților			ACCOUNT_LEAF	Debit	+	TRUE	Încasare: rulaj debitor în conturile de numerar cu contrapartidă cont/prefix 427	Pentru Cash Flow, codurile sintetice se pot trata ca prefix pentru toate analiticele aferente.
3180	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională	Încasări din regularizări salariale	Încasări din regularizări contribuții salariale					REPORT_GROUP	Debit	+	FALSE	Sumă rânduri copil	
3190	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională	Încasări din regularizări salariale	Încasări din regularizări contribuții salariale	431	Încasări din Asigurări sociale			ACCOUNT_LEAF	Debit	+	TRUE	Încasare: rulaj debitor în conturile de numerar cu contrapartidă cont/prefix 431	Pentru Cash Flow, codurile sintetice se pot trata ca prefix pentru toate analiticele aferente.
3200	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională	Alte încasări operaționale						REPORT_GROUP	Debit	+	FALSE	Sumă rânduri copil	
3210	Cash Flow	Încasări	Încasări totale	Încasări din Activitatea operațională	Alte încasări operaționale		542	Încasări din Avansuri de trezorerie			ACCOUNT_LEAF	Debit	+	TRUE	Încasare: rulaj debitor în conturile de numerar cu contrapartidă cont/prefix 542	Pentru Cash Flow, codurile sintetice se pot trata ca prefix pentru toate analiticele aferente.
